# Simulated SAS data with noise
# sigma generated using Sedlak et al, k=100000, c=0.55, https://doi.org/10.1107/S1600576717003077, and rebinned with 10 per bin)
# q            I            sigma       
  1.49825e-01  2.93713e-04  5.41836e-05 
  1.51075e-01  2.79394e-04  5.42265e-05 
  1.52326e-01  3.01365e-04  5.43997e-05 
  1.53576e-01  3.64137e-04  5.46718e-05 
  1.54827e-01  3.34171e-04  5.50133e-05 
  1.56078e-01  4.22241e-04  5.53972e-05 
  1.57328e-01  4.70341e-04  5.57992e-05 
  1.58579e-01  4.67274e-04  5.61980e-05 
  1.59830e-01  4.58081e-04  5.65753e-05 
  1.61080e-01  5.00613e-04  5.69160e-05 
  1.62331e-01  4.85810e-04  5.72074e-05 
  1.63581e-01  5.29143e-04  5.74397e-05 
  1.64832e-01  6.38005e-04  5.76053e-05 
  1.66083e-01  5.69448e-04  5.76986e-05 
  1.67333e-01  5.84839e-04  5.77161e-05 
  1.68584e-01  6.65910e-04  5.76560e-05 
  1.69835e-01  5.76998e-04  5.75178e-05 
  1.71085e-01  5.99147e-04  5.73026e-05 
  1.72336e-01  5.49279e-04  5.70123e-05 
  1.73586e-01  5.64843e-04  5.66502e-05 
  1.74837e-01  6.16497e-04  5.62202e-05 
  1.76088e-01  5.10214e-04  5.57271e-05 
  1.77338e-01  4.91017e-04  5.51764e-05 
  1.78589e-01  5.08630e-04  5.45740e-05 
  1.79840e-01  5.58396e-04  5.39263e-05 
  1.81090e-01  5.33140e-04  5.32400e-05 
  1.82341e-01  4.37757e-04  5.25222e-05 
  1.83591e-01  4.79760e-04  5.17801e-05 
  1.84842e-01  3.40294e-04  5.10209e-05 
  1.86093e-01  3.73003e-04  5.02519e-05 
  1.87343e-01  3.35559e-04  4.94802e-05 
  1.88594e-01  3.40552e-04  4.87130e-05 
  1.89845e-01  3.47289e-04  4.79568e-05 
  1.91095e-01  2.43729e-04  4.72181e-05 
  1.92346e-01  2.57013e-04  4.65028e-05 
  1.93596e-01  2.45481e-04  4.58163e-05 
  1.94847e-01  2.46680e-04  4.51635e-05 
  1.96098e-01  2.95405e-04  4.45483e-05 
  1.97348e-01  1.72168e-04  4.39744e-05 
  1.98599e-01  1.83317e-04  4.34442e-05 
  1.99850e-01  1.49284e-04  4.29597e-05 
  2.01100e-01  1.68645e-04  4.25219e-05 
  2.02351e-01  1.51141e-04  4.21309e-05 
  2.03602e-01  5.93046e-05  4.17863e-05 
  2.04852e-01  1.32587e-04  4.14868e-05 
  2.06103e-01  1.40960e-04  4.12304e-05 
  2.07353e-01  1.46683e-04  4.10147e-05 
  2.08604e-01  4.32655e-05  4.08365e-05 
  2.09855e-01  8.83185e-05  4.06926e-05 
  2.11105e-01  1.16934e-04  4.05791e-05 
  2.12356e-01  1.32225e-04  4.04922e-05 
  2.13607e-01  1.42440e-04  4.04279e-05 
  2.14857e-01  1.80197e-04  4.03821e-05 
  2.16108e-01  3.58169e-05  4.03509e-05 
  2.17358e-01  5.25614e-05  4.03305e-05 
  2.18609e-01  1.37125e-04  4.03171e-05 
  2.19860e-01  9.67799e-05  4.03074e-05 
  2.21110e-01  1.54252e-04  4.02982e-05 
  2.22361e-01  6.34086e-05  4.02867e-05 
  2.23612e-01  5.78244e-05  4.02704e-05 
  2.24862e-01  1.61051e-04  4.02471e-05 
  2.26113e-01  1.68500e-04  4.02150e-05 
  2.27363e-01  1.48714e-04  4.01724e-05 
  2.28614e-01  1.28651e-04  4.01182e-05 
  2.29865e-01  1.74820e-04  4.00515e-05 
  2.31115e-01  1.54665e-04  3.99717e-05 
  2.32366e-01  1.22591e-04  3.98785e-05 
  2.33617e-01  1.59979e-04  3.97716e-05 
  2.34867e-01  7.45469e-05  3.96514e-05 
  2.36118e-01  1.30804e-04  3.95183e-05 
  2.37368e-01  1.91887e-04  3.93726e-05 
  2.38619e-01  2.33479e-04  3.92153e-05 
  2.39870e-01  8.56692e-05  3.90472e-05 
