# Structure factor, S(q), used in: I(q) = P(q)*S(q)
# Default: S(q) = 1.0
# q                 S(q)             
  2.18609e-01      1.00163e+00      
  2.19860e-01      1.00163e+00      
  2.21110e-01      1.00162e+00      
  2.22361e-01      1.00161e+00      
  2.23612e-01      1.00160e+00      
  2.24862e-01      1.00159e+00      
  2.26113e-01      1.00158e+00      
  2.27363e-01      1.00156e+00      
  2.28614e-01      1.00155e+00      
  2.29865e-01      1.00153e+00      
  2.31115e-01      1.00151e+00      
  2.32366e-01      1.00149e+00      
  2.33617e-01      1.00148e+00      
  2.34867e-01      1.00145e+00      
  2.36118e-01      1.00143e+00      
  2.37368e-01      1.00141e+00      
  2.38619e-01      1.00139e+00      
  2.39870e-01      1.00137e+00      
  2.41120e-01      1.00135e+00      
  2.42371e-01      1.00133e+00      
  2.43622e-01      1.00130e+00      
  2.44872e-01      1.00128e+00      
  2.46123e-01      1.00126e+00      
  2.47373e-01      1.00124e+00      
  2.48624e-01      1.00122e+00      
  2.49875e-01      1.00121e+00      
  2.51125e-01      1.00119e+00      
  2.52376e-01      1.00117e+00      
  2.53627e-01      1.00116e+00      
  2.54877e-01      1.00114e+00      
  2.56128e-01      1.00113e+00      
  2.57378e-01      1.00112e+00      
  2.58629e-01      1.00111e+00      
  2.59880e-01      1.00110e+00      
  2.61130e-01      1.00109e+00      
  2.62381e-01      1.00108e+00      
  2.63632e-01      1.00108e+00      
  2.64882e-01      1.00107e+00      
  2.66133e-01      1.00107e+00      
  2.67383e-01      1.00106e+00      
  2.68634e-01      1.00106e+00      
  2.69885e-01      1.00105e+00      
  2.71135e-01      1.00105e+00      
  2.72386e-01      1.00104e+00      
  2.73637e-01      1.00104e+00      
  2.74887e-01      1.00104e+00      
  2.76138e-01      1.00103e+00      
  2.77388e-01      1.00103e+00      
  2.78639e-01      1.00102e+00      
  2.79890e-01      1.00102e+00      
  2.81140e-01      1.00101e+00      
  2.82391e-01      1.00101e+00      
  2.83642e-01      1.00100e+00      
  2.84892e-01      1.00099e+00      
  2.86143e-01      1.00099e+00      
  2.87393e-01      1.00098e+00      
  2.88644e-01      1.00097e+00      
  2.89895e-01      1.00096e+00      
  2.91145e-01      1.00095e+00      
  2.92396e-01      1.00094e+00      
  2.93647e-01      1.00094e+00      
  2.94897e-01      1.00093e+00      
  2.96148e-01      1.00092e+00      
  2.97398e-01      1.00091e+00      
  2.98649e-01      1.00090e+00      
  2.99900e-01      1.00089e+00      
  3.01150e-01      1.00088e+00      
  3.02401e-01      1.00087e+00      
  3.03652e-01      1.00086e+00      
  3.04902e-01      1.00085e+00      
  3.06153e-01      1.00084e+00      
  3.07404e-01      1.00083e+00      
  3.08654e-01      1.00082e+00      
  3.09905e-01      1.00082e+00      
  3.11155e-01      1.00081e+00      
  3.12406e-01      1.00080e+00      
  3.13657e-01      1.00080e+00      
  3.14907e-01      1.00079e+00      
  3.16158e-01      1.00078e+00      
  3.17409e-01      1.00078e+00      
  3.18659e-01      1.00077e+00      
  3.19910e-01      1.00077e+00      
  3.21160e-01      1.00076e+00      
  3.22411e-01      1.00076e+00      
  3.23662e-01      1.00075e+00      
  3.24912e-01      1.00075e+00      
  3.26163e-01      1.00075e+00      
  3.27414e-01      1.00074e+00      
  3.28664e-01      1.00074e+00      
  3.29915e-01      1.00074e+00      
  3.31165e-01      1.00073e+00      
  3.32416e-01      1.00073e+00      
  3.33667e-01      1.00073e+00      
  3.34917e-01      1.00072e+00      
  3.36168e-01      1.00072e+00      
  3.37419e-01      1.00072e+00      
  3.38669e-01      1.00071e+00      
  3.39920e-01      1.00071e+00      
  3.41170e-01      1.00070e+00      
  3.42421e-01      1.00070e+00      
  3.43672e-01      1.00070e+00      
  3.44922e-01      1.00069e+00      
  3.46173e-01      1.00069e+00      
  3.47424e-01      1.00068e+00      
  3.48674e-01      1.00068e+00      
  3.49925e-01      1.00067e+00      
  3.51175e-01      1.00067e+00      
  3.52426e-01      1.00066e+00      
  3.53677e-01      1.00066e+00      
  3.54927e-01      1.00065e+00      
  3.56178e-01      1.00064e+00      
  3.57429e-01      1.00064e+00      
  3.58679e-01      1.00063e+00      
  3.59930e-01      1.00063e+00      
  3.61180e-01      1.00062e+00      
  3.62431e-01      1.00062e+00      
  3.63682e-01      1.00061e+00      
  3.64932e-01      1.00061e+00      
  3.66183e-01      1.00060e+00      
  3.67434e-01      1.00060e+00      
  3.68684e-01      1.00059e+00      
  3.69935e-01      1.00059e+00      
  3.71185e-01      1.00058e+00      
  3.72436e-01      1.00058e+00      
  3.73687e-01      1.00057e+00      
  3.74937e-01      1.00057e+00      
  3.76188e-01      1.00057e+00      
  3.77439e-01      1.00056e+00      
  3.78689e-01      1.00056e+00      
  3.79940e-01      1.00056e+00      
  3.81190e-01      1.00055e+00      
  3.82441e-01      1.00055e+00      
  3.83692e-01      1.00055e+00      
  3.84942e-01      1.00054e+00      
  3.86193e-01      1.00054e+00      
  3.87444e-01      1.00054e+00      
  3.88694e-01      1.00054e+00      
  3.89945e-01      1.00053e+00      
  3.91195e-01      1.00053e+00      
  3.92446e-01      1.00053e+00      
  3.93697e-01      1.00053e+00      
  3.94947e-01      1.00052e+00      
  3.96198e-01      1.00052e+00      
  3.97449e-01      1.00052e+00      
  3.98699e-01      1.00051e+00      
  3.99950e-01      1.00051e+00      
  4.01201e-01      1.00051e+00      
  4.02451e-01      1.00051e+00      
  4.03702e-01      1.00050e+00      
  4.04952e-01      1.00050e+00      
  4.06203e-01      1.00050e+00      
  4.07454e-01      1.00049e+00      
  4.08704e-01      1.00049e+00      
  4.09955e-01      1.00049e+00      
  4.11206e-01      1.00048e+00      
  4.12456e-01      1.00048e+00      
  4.13707e-01      1.00048e+00      
  4.14957e-01      1.00047e+00      
  4.16208e-01      1.00047e+00      
  4.17459e-01      1.00047e+00      
  4.18709e-01      1.00046e+00      
  4.19960e-01      1.00046e+00      
  4.21211e-01      1.00046e+00      
  4.22461e-01      1.00045e+00      
  4.23712e-01      1.00045e+00      
  4.24962e-01      1.00045e+00      
  4.26213e-01      1.00045e+00      
  4.27464e-01      1.00044e+00      
  4.28714e-01      1.00044e+00      
  4.29965e-01      1.00044e+00      
  4.31216e-01      1.00043e+00      
  4.32466e-01      1.00043e+00      
  4.33717e-01      1.00043e+00      
  4.34967e-01      1.00043e+00      
  4.36218e-01      1.00042e+00      
  4.37469e-01      1.00042e+00      
  4.38719e-01      1.00042e+00      
  4.39970e-01      1.00042e+00      
  4.41221e-01      1.00041e+00      
  4.42471e-01      1.00041e+00      
  4.43722e-01      1.00041e+00      
  4.44972e-01      1.00041e+00      
  4.46223e-01      1.00040e+00      
  4.47474e-01      1.00040e+00      
  4.48724e-01      1.00040e+00      
  4.49975e-01      1.00040e+00      
  4.51226e-01      1.00040e+00      
  4.52476e-01      1.00039e+00      
  4.53727e-01      1.00039e+00      
  4.54977e-01      1.00039e+00      
  4.56228e-01      1.00039e+00      
  4.57479e-01      1.00039e+00      
  4.58729e-01      1.00038e+00      
  4.59980e-01      1.00038e+00      
  4.61231e-01      1.00038e+00      
  4.62481e-01      1.00038e+00      
  4.63732e-01      1.00038e+00      
  4.64982e-01      1.00038e+00      
  4.66233e-01      1.00037e+00      
  4.67484e-01      1.00037e+00      
  4.68734e-01      1.00037e+00      
  4.69985e-01      1.00037e+00      
  4.71236e-01      1.00037e+00      
  4.72486e-01      1.00036e+00      
  4.73737e-01      1.00036e+00      
  4.74987e-01      1.00036e+00      
  4.76238e-01      1.00036e+00      
  4.77489e-01      1.00036e+00      
  4.78739e-01      1.00035e+00      
  4.79990e-01      1.00035e+00      
  4.81241e-01      1.00035e+00      
  4.82491e-01      1.00035e+00      
  4.83742e-01      1.00035e+00      
  4.84992e-01      1.00034e+00      
  4.86243e-01      1.00034e+00      
  4.87494e-01      1.00034e+00      
  4.88744e-01      1.00034e+00      
  4.89995e-01      1.00034e+00      
  4.91246e-01      1.00034e+00      
  4.92496e-01      1.00033e+00      
  4.93747e-01      1.00033e+00      
  4.94997e-01      1.00033e+00      
  4.96248e-01      1.00033e+00      
  4.97499e-01      1.00033e+00      
  4.98749e-01      1.00033e+00      
  5.00000e-01      1.00032e+00      
